見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
俳句で広げる人権意識,「気づき」をテーマにした俳句を募集,,,,,県内在住・在勤・在学の方,,,,,郵送、ファックス、Eメールで所定の応募用紙（申込先、ウェブサイトで配布）を10月2日までに海草振興局総務県民課電話073-441-3352　ファックス073-423-9269Eメール　e1301111@pref.wakayama.lg.jp県ウェブサイトでも掲載 ,,,,,,,
生活教養講座,今話題の生活情報や消費者トラブル未然防止のための知識など,,,10月7?28日の水曜（全4回）いずれも13:30?15:00,和歌山ビッグ愛（和歌山市）,,各20人（先着順）,,,,郵送、電話、ファックスで住所、氏名、電話番号、受講希望講座を9月25日までに県消費生活センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛8階電話073-433-1551　ファックス073-433-3904県ウェブサイトでも掲載 ,,,,,,,
語り合い広場,(1)市場恵子さんの“りぃぶる”やさしいジェンダー講座（全2回）,,,10月3・17日 いずれも土曜13:30?15:30,県男女共同参画センター（和歌山市）,,各30人（先着順）,,,,郵送、電話、ファックス、Eメール、インターネット、来所で住所、氏名、電話番号を（一時保育希望者は9月20日までに）県男女共同参画センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛9階電話073-435-5245　ファックス073-435-5247Eメール　libre@sirius.ocn.ne.jp県ウェブサイトでも掲載 ,,,,,,,
語り合い広場,(2)-助産師さんと考えよう-子供への性と命のつたえ方,,,10月4日（日）13:30?16:00,海南nobinos（海南市）,,20人（先着順）,,,,郵送、電話、ファックス、Eメール、インターネット、来所で住所、氏名、電話番号を（一時保育希望者は9月20日までに）県男女共同参画センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛9階電話073-435-5245　ファックス073-435-5247Eメール　libre@sirius.ocn.ne.jp県ウェブサイトでも掲載 ,,,,,,,
役務の提供等の契約に係る競争入札参加資格審査申請,県が発注する役務等の業務（建設工事に関するものは除く）に係る入札参加資格申請の受付※現在資格を持つ方も申請が必要,,,,,対象業種例：建築物の保守管理、警備、情報処理、検査・調査研究など,,,郵送で10月1?31日に県庁管財課、情報政策課、森林整備課、総務事務集中課,県庁総務事務集中課,,,,,,,,
北方領土に関する標語・キャッチコピー,募集期間：9月30日まで,,,,,,,,,,郵送、ファックス、Eメール、インターネットで応募用紙（ウェブサイトで配布）を株式会社公募ガイド社〒105-0011東京都港区芝公園1-8-21 5階電話03-5405-2062　ファックス03-5405-2061Eメール　hoku@koubo.co.jp県ウェブサイトでも掲載 ,,,,,,,
わかやま就職フェア2020,,,,10月5日（月）13:00?16:00,和歌山ビッグ愛（和歌山市）,一般求職者、令和3年3月卒業予定の大学・短大・専門学校生など,,,,県庁労働政策課UIわかやま就職ガイドのぺージへリンク※手話通訳は要予約 ,,,,,,,,
トランポリンサークル,,,,9月13・27日、10月4日、12月6・13・20日、令和3年1月31日、2月7・14日、3月7日 いずれも日曜10:30?11:45（全10回）,県立橋本体育館（橋本市）,4歳以上,15人（先着順）※当日参加5人まで可,"5,230円（全10回分）",,,持参で所定の申込書（申込先で配布）と参加費を会場橋本市北馬場455電話0736-32-9660和歌山県立橋本体育館のぺージへリンク※当日参加費用など詳しくは要問合せ ,,,,,,,
子供・若者育成支援県民大会,青少年健全育成功労者・団体への表彰、講演など,,,10月24日（土）13:00?14:30,紀の川市役所南別館「ホール田園」,,100人（先着順）,,,県庁青少年・男女共同参画課※手話通訳・要約筆記あり県ウェブサイトでも掲載 ,,,,,,,,
ご存じですか？「遠隔外来」,テレビ会議システムを利用して、地元の病院や診療所（県内23カ所）で県立医大病院の専門医からアドバイスが受けられます。対象となる診療科など、詳しくはウェブサイトをご覧ください。,,,,,,,,,県立医大地域医療支援センター　電話073-441-0845遠隔外来のぺージへリンク,,,,,,,,
若者サポートステーションWith Youわかやま移転,困難を抱える子供や若者、そのご家族からの相談を受け付ける窓口が9月1日から移転しました。移転先：和歌山市本町1-22 Wajima本町ビル4階電話073-428-0874,,,,,,,,,県庁青少年・男女共同参画課若者サポートステーションわかやまのぺージへリンク,,,,,,,,
きれいな水を未来に！,9月10日は下水道の日10月1日は浄化槽の日きれいな水を未来に残すため、ご家庭やお店の汚水を下水道につないだり、合併処理浄化槽を入れたりしましょう。下水道の接続や合併処理浄化槽へ転換する際には助成制度がありますので、お住まいの市町村へお問い合わせください。,,,,,,,,,県庁下水道課 ,,,,,,,,
10月1日現在で国勢調査を実施します！,◯国勢調査とは日本に住んでいるすべての人・世帯を対象とする日本で最も重要な統計調査です。9月中旬から調査員が各世帯に調査書類を配布します。◯新型コロナウイルス感染症対策を行っています調査員はマスクを着用します。地域の実情に応じ、インターホン越しで説明するなどの対策を行ったうえで調査を実施します。◯インターネット回答にご協力を感染予防のため、できる限りインターネット回答をご利用ください。,,,,,,,,,県庁調査統計課県ウェブサイトでも掲載 ,,,,,,,,
安心の農業経営を！農業収入保険,自然災害や価格低下等あらゆる収入減少のリスクに対応できる農業経営収入保険に加入しませんか。青色申告が1年以上ある農業者が対象で、平均収入の8割が確保されます。収入が下がった場合には「つなぎ融資（無利子）」も利用でき、営農資金に充てることができます。※詳しくは要問合せ,,,,,,,,,県農業共済組合　電話073-436-0771県庁経営支援課 県ウェブサイトでも掲載 ,,,,,,,,
毎月勤労統計調査,(1)第二種事業所5人以上を雇用する事業所の賃金や労働時間、雇用の変動を毎月調査しています。調査対象事業所を把握するため、新型コロナウイルス感染症対策を行った統計調査員が9月に事業所を訪問しますので、ご回答をお願いします。(2)特別調査の代替調査例年8月から9月にかけて1?4人を雇用する事業所を対象に、給与や労働時間などを調査している特別調査が中止となり、代替調査が実施されます。昨年特別調査を行った事業所を対象に、厚生労働省が10月頃に郵送・オンラインで実施しますので、ご回答をお願いします。,,,,,,,,,県庁調査統計課県ウェブサイトでも掲載 ,,,,,,,,
9月10日は世界自殺予防デー（自殺予防週間9/10?16）,ひとりでも多くの自殺者をなくすため、自分や悩んでいる人の心の健康やいのちの大切さについて考える機会です。ひとりで悩まずに誰かに話してみませんか。自殺対策推進センター相談電話「はあとライン」（24時間365日対応）電話0570-064-556,,,,,,,,,県精神保健福祉センター　電話073-435-5194 ,,,,,,,,
KINOKAWAリフレッシュ♪ラリーwith 宝さがし,サイクリングマップ「KINOKAWAぐるリン♪マップ」掲載のおもてなしスポットを自転車で巡るイベント,,,9月18日（金）～令和3年1月22日（金）,,,,,,紀の川エリア観光サイクリング推進協議会事務局（那賀振興局企画産業課内）電話0736-61-0014※詳しくは要問合せ県ウェブサイトでも掲載 ,,マップ配布場所：問合先、紀の川市、岩出市など,,,,,,
高野山麓世界遺産アクセスバス,高野山麓地域の世界遺産社寺や観光スポットを周遊できる特別バスを運行します。お得な「ぐるっとパス」もあります。,,,運行日：9月12日?11月29日の土日祝,運行区間：橋本駅～丹生都比売神社、丹生都比売神社～高野山（奥の院前）,,,,,橋本・伊都広域観光協議会事務局（伊都振興局企画産業課内）電話0736-33-4909高野・山麓いと楽しのぺージへリンク※詳しくはウェブサイトを要確認 ,,,,,,,,
青少年の家　自然の中で心はぐくむ体験がいっぱいちょっぴりコワハロウィン,仮装パーティー、ハロウィンクラフトなど,,,10月24日（土）?25日（日）1泊2日,白崎青少年の家,小学4年生以上または家族,50人（先着順）,"4,600?5,440円／人",10月10日まで ,〒649-1123 由良町大引961-1電話0738-65-2351　ファックス0738-65-2352※申し込みには、参加者全員の住所、氏名、年齢（学年）、電話番号などが必要です。　Eメール、ファックスで申し込まれた場合は電話で確認してください。詳しくは各施設へ,,,,,https://pya-shirasaki.ssl-lolipop.jp/,,,
青少年の家　自然の中で心はぐくむ体験がいっぱいハロウィンパーティー,クラフト作り、クッキングなど,,,10月24日（土）?25日（日）1泊2日,潮岬青少年の家,小学4年～中学3年生,30人（先着順）,"5,000円／人",9月23日?10月9日 ,〒649-3502 串本町潮岬669電話0735-62-6045　ファックス0735-62-0182※申し込みには、参加者全員の住所、氏名、年齢（学年）、電話番号などが必要です。　Eメール、ファックスで申し込まれた場合は電話で確認してください。詳しくは各施設へ,,,,,,,,
障害者を対象とした職員採用,,試験,,11月1日（日）,和歌山商工会議所（和歌山市）,,一般事務3人程度、学校事務1人程度、警察事務1人程度（選考）,,,,郵送、インターネット、持参で9月4?25日に県人事委員会事務局※点字受験・手話通訳・要約筆記は要予約県ウェブサイトでも掲載 ,,※受験資格など詳しくは試験案内またはウェブサイトを要確認,申込先、県パスポートセンター、振興局総務県民課など,,,,
職業訓練指導員採用,,試験,試験区分：理容科勤務地：和歌山市,【一次】11月8日（日）【二次】12月6日（日）,和歌山産業技術専門学院（和歌山市）,理容師免許取得者で職業訓練指導員の免許を取得または取得見込みの昭和56年4月2日以降に生まれた方,1人程度（選考）,,,,郵送、持参で10月21日までに県庁労働政策課※詳しくは試験案内を要確認県ウェブサイトでも掲載 ,,,申込先、県人事委員会事務局、振興局総務県民課、会場,,,,
採石業務管理者,,試験,,10月9日（金）10:00?12:00,*県自治会館（和歌山市）,,,"8,000円（受験手数料）",,,郵送で9月14日までに県庁砂防課県ウェブサイトでも掲載 ,,,申込先、振興局建設部,,,,
